Recording	Participant	Gender	Group	TOI	Interval	Media	AOI	Number_of_Events.Logged_live_Event	Number_of_Events.Calibration_fix_offset	Number_of_Events.Calibration_offset	Number_of_Events.Calibration_onset	Number_of_Events.Chatting_fix_offset	Number_of_Events.Chatting_offset	Number_of_Events.Chatting_onset	Number_of_Events.Clicking_fix_offset	Number_of_Events.Clicking_offset	Number_of_Events.Clicking_onset	Number_of_Events.Drawing_fix_offset	Number_of_Events.Drawing_offset	Number_of_Events.Drawing_onset	Number_of_Events.Drumming_fix_offset	Number_of_Events.Drumming_offset	Number_of_Events.Drumming_onset	Number_of_Events.Head_fix_offset	Number_of_Events.Head_offset	Number_of_Events.Head_onset	Number_of_Events.Heckling_fix_offset	Number_of_Events.Heckling_offset	Number_of_Events.Heckling_onset	Number_of_Events.Lesson_end	Number_of_Events.Lesson_start	Number_of_Events.Phone_fix_offset	Number_of_Events.Phone_offset	Number_of_Events.Phone_onset	Number_of_Events.Reaction_chatting	Number_of_Events.Reaction_clicking	Number_of_Events.Reaction_drawing	Number_of_Events.Reaction_drumming	Number_of_Events.Reaction_head	Number_of_Events.Reaction_heckling	Number_of_Events.Reaction_phone	Number_of_Events.Reaction_snipping	Number_of_Events.Reaction_whispering	Number_of_Events.Snipping_fix_offset	Number_of_Events.Snipping_offset	Number_of_Events.Snipping_onset	Number_of_Events.Whispering_fix_offset	Number_of_Events.Whispering_offset	Number_of_Events.Whispering_onset	Time_to_first_Event.Logged_live_Event	Time_to_first_Event.Calibration_fix_offset	Time_to_first_Event.Calibration_offset	Time_to_first_Event.Calibration_onset	Time_to_first_Event.Chatting_fix_offset	Time_to_first_Event.Chatting_offset	Time_to_first_Event.Chatting_onset	Time_to_first_Event.Clicking_fix_offset	Time_to_first_Event.Clicking_offset	Time_to_first_Event.Clicking_onset	Time_to_first_Event.Drawing_fix_offset	Time_to_first_Event.Drawing_offset	Time_to_first_Event.Drawing_onset	Time_to_first_Event.Drumming_fix_offset	Time_to_first_Event.Drumming_offset	Time_to_first_Event.Drumming_onset	Time_to_first_Event.Head_fix_offset	Time_to_first_Event.Head_offset	Time_to_first_Event.Head_onset	Time_to_first_Event.Heckling_fix_offset	Time_to_first_Event.Heckling_offset	Time_to_first_Event.Heckling_onset	Time_to_first_Event.Lesson_end	Time_to_first_Event.Lesson_start	Time_to_first_Event.Phone_fix_offset	Time_to_first_Event.Phone_offset	Time_to_first_Event.Phone_onset	Time_to_first_Event.Reaction_chatting	Time_to_first_Event.Reaction_clicking	Time_to_first_Event.Reaction_drawing	Time_to_first_Event.Reaction_drumming	Time_to_first_Event.Reaction_head	Time_to_first_Event.Reaction_heckling	Time_to_first_Event.Reaction_phone	Time_to_first_Event.Reaction_snipping	Time_to_first_Event.Reaction_whispering	Time_to_first_Event.Snipping_fix_offset	Time_to_first_Event.Snipping_offset	Time_to_first_Event.Snipping_onset	Time_to_first_Event.Whispering_fix_offset	Time_to_first_Event.Whispering_offset	Time_to_first_Event.Whispering_onset	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Calibration_phase_fix	1	fullstream	Anna	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			10114	0																				17929																			740	247	200	300	3	20658	240	Classroom_Others		0				0			2559	2559	2559	2559	1	20658	2559	2666	1333	47	2618	2	20598	2618	1		23216		453,69
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Calibration_phase_fix	1	fullstream	Bianca	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			10114	0																				17929																			1719	191	80	300	9	18019	160	Classroom_Others		0				0			1819	260	120	440	7	18019	440	2079	297	160	480	7	17979	480	1	19099	18459	247,24	304,44
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Calibration_phase_fix	1	fullstream	Carl(a)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			10114	0																				17929																			580	193	160	240	3	19379	180	Classroom_Others		0				0			620	310	160	460	2	19379	460	700	350	180	520	2	19319	520	1				
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Calibration_phase_fix	1	fullstream	Classroom_Others	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			10114	0																				17929																			1679	839	520	1159	2	26994	1159	Classroom_Others		0				0			1679	839	520	1159	2	26994	1159	1739	869	540	1199	2	26954	1199	0	26954		300,15	
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Calibration_phase_fix	1	fullstream	Teacher_material	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			10114	0																				17929																			3338	238	80	600	14	17640	160	Classroom_Others		0				0			3698	462	80	939	8	17640	160	4058	507	140	959	8	17620	180	4	17620	19099	111,44	247,24
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Chatting_with_neighbour	1	fullstream	Anna	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					1758															0				0			Carl(a),Disruptive_Person	Carl(a),Disruptive_Person	0				0			0				0			0				0			0				
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Chatting_with_neighbour	1	fullstream	Bianca	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					1758															140	140	140	140	1	1696	140	Carl(a),Disruptive_Person	Carl(a),Disruptive_Person	0				0			140	140	140	140	1	1696	140	160	160	160	160	1	1676	160	0				
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Chatting_with_neighbour	1	fullstream	Carl(a)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					1758															1486	743	110	1376	2	0	1376	Carl(a),Disruptive_Person	Carl(a),Disruptive_Person	0				0			1486	743	110	1376	2	0	1376	1486	743	110	1376	2	0	1376	0				
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Chatting_with_neighbour	1	fullstream	Disruptive_Person	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					1758															1486	743	110	1376	2	0	1376	Carl(a),Disruptive_Person	Carl(a),Disruptive_Person	0				0			1486	743	110	1376	2	0	1376	1486	743	110	1376	2	0	1376	0				
Recording047	ProVisioNET_pilot_02_02	Female	Novice	Chatting_with_neighbour	1	fullstream	Nametag_Carl(a)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					1758															140	140	140	140	1	1456	140	Carl(a),Disruptive_Person	Carl(a),Disruptive_Person	0				0			140	140	140	140	1	1456	140	180	180	180	180	1	1416	180	0				
