what	count	project	study	phase	condition	age	sex	counter	where	e	id	bday	bmon	byea	birthday	tday	tmon	tyea	testdate	agem	aged	day_by31	cond	cb	trialtype	trial	order	task	cue	tar	dis	sidecorrect	valid	correct
head	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	cond	cb	trialtype	trial	order	task	cue	tar	dis	sidecorrect	valid	correct
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	fam	1	0	fam	na	na	na	left	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	fam	2	0	fam	na	na	na	right	0	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	fam	3	0	fam	na	na	na	right	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	fam	4	0	fam	na	na	na	left	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	1	1	rep	circle	circle	square	left	0	0
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	2	2	rep	triangle	triangle	lemon	right	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	3	3	rep	heart	heart	circle	left	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	4	4	rep	diamond	diamond	square	left	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	5	5	rep	lemon	lemon	triangle	right	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	6	6	rep	circle	circle	heart	left	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	7	7	rep	square	square	triangle	right	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	8	8	rep	diamond	diamond	lemon	left	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	9	9	rep	heart	heart	triangle	right	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	10	10	rep	circle	circle	lemon	left	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	11	11	rep	triangle	triangle	square	right	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	12	12	rep	lemon	lemon	diamond	right	1	1
data	1	SymLit	RMTS	pilot1	comm	4yo	1	A	videocall	AS	255543	18	6	2016	18/6/2016	9	12	2020	9/12/2020	53	1635	53,60655738	comm	A	test	13	13	rep	square	square	circle	left	1	1
