Recording	Participant	Gender	Group	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording033	01_04_C	Male	Novice	Entire Recording	1	fullstream	Board	60065	567	80	6276	106	325942	120	0				0			68460	4564	80	11253	15	325942	8155	69120	4608	100	11373	15	325922	8175	74	588649	632624	216,64	121,06
Recording033	01_04_C	Male	Novice	Entire Recording	1	fullstream	Classroom_others	16910	229	80	1919	74	65572	200	0				0			24706	603	80	7096	41	65572	200	26545	647	100	7136	41	65512	260	16	65512	79145	401,8	296,07
Recording033	01_04_C	Male	Novice	Entire Recording	1	fullstream	Material	28783	316	80	4297	91	65153	360	0				0			42455	1516	80	6716	28	65153	360	43515	1554	140	6736	28	65113	400	20	147685	65512	375,1	401,8
Recording033	01_04_C	Male	Novice	Entire Recording	1	fullstream	StudentA	97604	508	80	7176	192	62574	400	0				0			108717	921	80	10854	118	62574	400	113854	965	80	10974	118	62554	420	47	62554	62974	334,94	308,5
Recording033	01_04_C	Male	Novice	Entire Recording	1	fullstream	StudentB	71958	510	80	4557	141	62094	460	0				0			79094	791	80	9974	100	62094	460	84171	842	100	9994	100	62074	480	24	72868	62554	397,03	334,94
Recording033	01_04_C	Male	Novice	Entire Recording	1	fullstream	StudentC	140419	688	80	4857	204	63014	380	0				0			164585	1306	80	12113	126	63014	380	169542	1346	140	12213	126	62974	420	43	62974	86840	308,5	213,04
Recording034	01_02_A	Male	Expert	Entire Recording	1	fullstream	Classroom_others	25065	186	80	939	135	61694	160	100	100	100	100	1	293019	100	32781	420	80	2339	78	61694	160	35679	457	80	2379	78	61694	160	29	144486	67671	433,94	480,2
Recording034	01_02_A	Male	Expert	Entire Recording	1	fullstream	Material	820	137	80	300	6	45663	80	0				0			860	215	80	500	4	45663	200	1039	260	100	540	4	45623	240	2	45883		126,87	
Recording034	01_02_A	Male	Expert	Entire Recording	1	fullstream	StudentA	174997	419	80	3138	418	28753	1439	2139	2139	2139	2139	1	93455	2139	195885	1031	80	20808	190	28753	1439	203040	1069	80	20808	190	28733	1459	125	68350	30192	441,2	484,48
Recording034	01_02_A	Male	Expert	Entire Recording	1	fullstream	StudentB	169580	404	80	3578	420	28114	120	380	380	380	380	1	599038	380	203040	1180	80	14511	172	28114	120	210196	1222	80	14531	172	28094	140	121	30192	68350	484,48	441,2
Recording034	01_02_A	Male	Expert	Entire Recording	1	fullstream	StudentC	161325	480	80	5137	336	28333	320	0				0			181273	1286	80	14272	141	28333	320	185470	1315	80	14292	141	28314	340	107	38787	41226	115,31	474,18
Recording035	01_03_B	Female	Novice	Entire Recording	1	fullstream	Board	61963	439	80	3518	141	49540	180	0				0			67599	2704	80	9314	25	49540	560	68499	2740	100	9334	25	49460	640	98	49460	76184	499,78	177,98
Recording035	01_03_B	Female	Novice	Entire Recording	1	fullstream	Classroom_others	16110	375	80	2159	43	49540	180	0				0			17849	687	80	2159	26	49540	1219	18609	716	100	2159	26	49460	1299	11	49460	86958	499,78	327,55
Recording035	01_03_B	Female	Novice	Entire Recording	1	fullstream	Material	13532	501	80	1979	27	48901	160	0				0			19089	2386	420	6336	8	48901	560	19308	2414	420	6416	8	48901	560	5		49460		499,78
Recording035	01_03_B	Female	Novice	Entire Recording	1	fullstream	StudentA	112952	710	80	3998	159	57695	540	0				0			141035	1485	140	10754	95	57695	540	145013	1526	180	10813	95	57656	580	30	66490	58235	316,47	387,08
Recording035	01_03_B	Female	Novice	Entire Recording	1	fullstream	StudentB	181951	788	80	5337	231	48181	120	0				0			205537	1644	80	13572	125	48181	120	211413	1691	120	13632	125	48141	160	38	58235	48301	387,08	166,55
Recording035	01_03_B	Female	Novice	Entire Recording	1	fullstream	StudentC	96862	850	80	5157	114	48321	400	0				0			104937	1779	120	12812	59	48321	400	107256	1818	160	12872	59	48301	420	17	48301	65971	166,55	439,96
Recording036	01_01_D	Female	Expert	Entire Recording	1	fullstream	Board	82411	335	80	3438	246	54978	140	0				0			103318	1694	80	8375	61	54978	560	105317	1727	80	8395	61	54918	620	106	170069	193236	188,7	104,37
Recording036	01_01_D	Female	Expert	Entire Recording	1	fullstream	Classroom_others	14631	248	80	1219	59	51979	140	0				0			18149	432	80	3018	42	51979	740	20048	477	100	3098	42	51979	740	8	53379	52719	297,04	468,52
Recording036	01_01_D	Female	Expert	Entire Recording	1	fullstream	Material	29422	342	80	2219	86	52779	100	0				0			41335	2431	100	8395	17	52779	340	41795	2459	200	8395	17	52719	400	30	52719	53119	468,52	508,89
Recording036	01_01_D	Female	Expert	Entire Recording	1	fullstream	StudentA	107796	479	80	3298	225	53878	400	0				0			118609	1119	80	9634	106	53878	400	122587	1156	140	9654	106	53858	420	49	53858	54278	131,04	507,67
Recording036	01_01_D	Female	Expert	Entire Recording	1	fullstream	StudentB	85689	376	80	2199	228	53179	200	0				0			102639	1333	80	18409	77	53179	200	105737	1373	80	18409	77	53119	260	52	53119	53379	508,89	297,04
Recording036	01_01_D	Female	Expert	Entire Recording	1	fullstream	StudentC	134979	467	80	3398	289	56157	879	0				0			158585	1391	80	10394	114	56157	879	162843	1428	120	10434	114	56137	899	53	59315	61414	227,47	500,91
