ID	questionnaire label	group	what	personID	session	unit	itemID	scale_original	scale	shortID	perspective	item wordings	value	target	age	gender	experience	conception 	class 	age adult education
2	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	1	Klassenmanagement	Classroom management	km_mitbekommen	observer	Die Lehrperson hat alles mitbekommen, was in der Klasse passiert ist.	3	A	27	0	0	0	0	0
3	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	1	Klassenmanagement	Classroom management	km_klar	observer	Den Schüler*innen war jederzeit klar, was sie tun sollten.	2	A	27	0	0	0	0	0
4	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	1	Klassenmanagement	Classroom management	km_unegstört	observer	Die Schüler*innen konnten ungestört arbeiten.	3	A	27	0	0	0	0	0
5	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	1	Klassenmanagement	Classroom management	km_aktiv	observer	Die Schüler*innen waren die ganze Stunde über aktiv bei der Sache.	2	A	27	0	0	0	0	0
6	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_freundlich	observer	Die Lehrperson war freundlich zu den Schüler*innen.	3	A	27	0	0	0	0	0
7	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_interesse	observer	Es gab Aufgaben, die etwas mit dem Interessen oder den Alltagserfahrungen der Schüler*innen zu tun haben	3	A	27	0	0	0	0	0
8	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_kritik	observer	Die Lehrperson hat Fehler nicht kritisiert, sondern als Lerngelegenheit betrachtet.	4	A	27	0	0	0	0	0
9	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_ausreden	observer	Die Lehrperson die Schüler*innen ausreden lasse, wenn sie dran waren.	3	A	27	0	0	0	0	0
10	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_überlegen	observer	Wenn die Lehrperson Frage oder Aufgaben gestellt hat, hat sie den Schüler*innen ausreichend Zeit zum Überlegen gelassen. 	3	A	27	0	0	0	0	0
11	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_rückmeldungen	observer	Die Hinweise und Rückmeldungen der Lehrperson waren für die Schüler*innen hilfreich.	3	A	27	0	0	0	0	0
12	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	3	Klarheit und Strukturiertheit	Clarity and structuredness	lkm_funktion	observer	Den Schüler*innen ist klar, was sie in dieser Stunde lernen sollten.	4	A	27	0	0	0	0	0
13	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	3	Klarheit und Strukturiertheit	Clarity and structuredness	ks_verständlich	observer	Die Lehrperson so erklärt, dass die Schüler*innen alles verstanden haben.	4	A	27	0	0	0	0	0
14	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	3	Klarheit und Strukturiertheit	Clarity and structuredness	ks_sichtbar	observer	Der Lernstoff wurde sichtbar gemacht, zum Beipsiel durch Schaubild, Mindmap, Poster oder Zeichnung.	4	A	27	0	0	0	0	0
15	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	3	Klarheit und Strukturiertheit	Clarity and structuredness	ks_deutlich	observer	Die Lehrperson hat darauf geachtet, dass jede*r klar und deutlich spricht.	2	A	27	0	0	0	0	0
16	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	3	Klarheit und Strukturiertheit	Clarity and structuredness	ks_zusammenfassend	observer	Die wichtigsten Punkte wurden zusammengefasst.	3	A	27	0	0	0	0	0
17	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	4	Aktivierung und Förderung	Activation and support	af_beiträge	observer	Die Schüler*innen haben sich mit eigenen Beiträgen am Unterrichtsbespräch beteiligt. 	4	A	27	0	0	0	0	0
18	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	4	Aktivierung und Förderung	Activation and support	af_wechselseitig	observer	Die Schüler*innen haben sich wechselseitig etwas erklärt, sich Fragen gestellt oder Rückmeldung gegeben.	4	A	27	0	0	0	0	0
19	Aperol_pilot_01_02_expert_A_quest	expert	data	1	001	002	4	Aktivierung und Förderung	Activation and support	af_nachdenken	observer	Es gab Fragen oder Aufgaben, bei denen die Schüler*innen richtig nachdenken mussten.	4	A	27	0	0	0	0	0
