Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?			Aperol_pilot_01_02_expert_A_cam1	phase\lesson begin	0:01:16,5	0:01:16,6	0		empshiwi	14.10.2020 13:58:58	empshiwi	14.10.2020 13:58:58	00:00:00,1	0,01
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:01:16,5	0:01:17,7	0		empshiwi	14.10.2020 13:59:12	empshiwi	14.10.2020 13:59:12	00:00:01,2	0,14
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:01:17,6	0:01:19,9	0		empshiwi	14.10.2020 13:59:24	empshiwi	14.10.2020 13:59:24	00:00:02,2	0,26
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:01:20,3	0:01:29,3	0		empshiwi	14.10.2020 13:59:39	empshiwi	14.10.2020 13:59:39	00:00:08,9	1,03
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:01:30,5	0:01:41,9	0		empshiwi	14.10.2020 14:00:21	empshiwi	14.10.2020 14:00:21	00:00:11,3	1,31
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:01:44,4	0:01:52,9	0		empshiwi	14.10.2020 14:00:52	empshiwi	14.10.2020 14:00:52	00:00:08,4	0,97
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:01:56,7	0:01:58,4	0		empshiwi	14.10.2020 14:01:11	empshiwi	14.10.2020 14:01:11	00:00:01,6	0,19
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:01:59,6	0:02:00,7	0		empshiwi	14.10.2020 14:01:31	empshiwi	14.10.2020 14:01:31	00:00:01,1	0,13
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:02:00,7	0:02:02,7	0		empshiwi	14.10.2020 14:01:38	empshiwi	14.10.2020 14:01:38	00:00:01,9	0,22
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:02:08,7	0:02:11,6	0		empshiwi	14.10.2020 14:02:28	empshiwi	14.10.2020 14:02:28	00:00:02,8	0,33
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:02:11,6	0:02:12,0	0		empshiwi	14.10.2020 14:02:33	empshiwi	14.10.2020 14:02:33	00:00:00,3	0,04
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:02:12,6	0:02:16,5	0		empshiwi	14.10.2020 14:02:45	empshiwi	14.10.2020 14:02:45	00:00:03,8	0,45
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:02:16,8	0:02:39,0	0		empshiwi	14.10.2020 14:03:35	empshiwi	14.10.2020 14:03:35	00:00:22,1	2,57
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:02:40,2	0:02:42,9	0		empshiwi	14.10.2020 14:03:50	empshiwi	14.10.2020 14:03:50	00:00:02,6	0,31
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:02:44,2	0:02:44,7	0		empshiwi	14.10.2020 14:03:58	empshiwi	14.10.2020 14:03:58	00:00:00,4	0,05
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:02:45,1	0:02:48,0	0		empshiwi	14.10.2020 14:04:04	empshiwi	14.10.2020 14:04:04	00:00:02,8	0,33
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:02:49,2	0:02:58,2	0		empshiwi	14.10.2020 14:04:37	empshiwi	14.10.2020 14:04:37	00:00:08,9	1,04
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:02:59,2	0:03:00,7	0		empshiwi	14.10.2020 14:04:54	empshiwi	14.10.2020 14:04:54	00:00:01,4	0,17
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:03:02,5	0:03:11,0	0		empshiwi	14.10.2020 14:05:20	empshiwi	14.10.2020 14:05:20	00:00:08,4	0,97
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:03:12,0	0:03:27,5	0		empshiwi	14.10.2020 14:06:34	empshiwi	14.10.2020 14:06:34	00:00:15,4	1,79
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:03:27,5	0:03:28,1	0		empshiwi	14.10.2020 14:06:44	empshiwi	14.10.2020 14:06:44	00:00:00,5	0,06
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\yelling	0:03:27,5	0:03:28,1	0		empshiwi	14.10.2020 14:06:46	empshiwi	14.10.2020 14:06:46	00:00:00,5	0,06
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:03:28,6	0:03:32,5	0		empshiwi	14.10.2020 14:10:07	empshiwi	14.10.2020 14:10:07	00:00:03,8	0,44
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\yelling\reacted	0:03:28,6	0:03:32,5	0		empshiwi	14.10.2020 14:10:22	empshiwi	14.10.2020 14:10:22	00:00:03,8	0,44
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\yelling\reacted\verbal	0:03:28,6	0:03:32,5	0		empshiwi	14.10.2020 14:10:31	empshiwi	14.10.2020 14:10:31	00:00:03,8	0,44
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:03:32,5	0:03:35,6	0		empshiwi	14.10.2020 14:10:53	empshiwi	14.10.2020 14:10:53	00:00:03,0	0,35
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:03:33,4	0:03:34,6	0		empshiwi	14.10.2020 14:11:05	empshiwi	14.10.2020 14:11:05	00:00:01,2	0,14
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\yelling\reacted\verbal	0:03:33,4	0:03:34,6	0		empshiwi	14.10.2020 14:11:08	empshiwi	14.10.2020 14:11:08	00:00:01,2	0,14
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\yelling\reacted	0:03:33,4	0:03:34,6	0		empshiwi	14.10.2020 14:11:10	empshiwi	14.10.2020 14:11:10	00:00:01,2	0,14
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\yelling\perceived	0:03:27,5	0:03:27,6	0		empshiwi	14.10.2020 14:11:18	empshiwi	14.10.2020 14:11:18	00:00:00,1	0,01
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:03:36,0	0:03:36,8	0		empshiwi	14.10.2020 14:11:43	empshiwi	14.10.2020 14:11:43	00:00:00,8	0,09
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:03:36,7	0:03:38,2	0		empshiwi	14.10.2020 14:11:56	empshiwi	14.10.2020 14:11:56	00:00:01,4	0,17
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\asking question	0:03:36,7	0:03:38,2	0		empshiwi	14.10.2020 14:11:58	empshiwi	14.10.2020 14:11:58	00:00:01,4	0,17
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:03:38,4	0:03:52,7	0		empshiwi	14.10.2020 14:12:58	empshiwi	14.10.2020 14:12:58	00:00:14,2	1,65
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\asking question\reacted	0:03:38,4	0:03:52,7	0		empshiwi	14.10.2020 14:13:09	empshiwi	14.10.2020 14:13:09	00:00:14,2	1,65
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\asking question\reacted\verbal	0:03:38,4	0:03:52,7	0		empshiwi	14.10.2020 14:13:10	empshiwi	14.10.2020 14:13:10	00:00:14,2	1,65
?			Aperol_pilot_01_02_expert_A_cam1	disturbance\asking question\perceived	0:03:35,8	0:03:36,0	0		empshiwi	14.10.2020 14:13:27	empshiwi	14.10.2020 14:13:27	00:00:00,1	0,01
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:03:53,7	0:04:39,9	0		empshiwi	14.10.2020 14:16:46	empshiwi	14.10.2020 14:16:46	00:00:46,1	5,33
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:03:54,8	0:03:55,4	0		empshiwi	14.10.2020 14:13:59	empshiwi	14.10.2020 14:13:59	00:00:00,5	0,06
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\teacher	0:04:38,8	0:04:48,8	0		empshiwi	14.10.2020 14:18:05	empshiwi	14.10.2020 14:18:05	00:00:10,0	1,16
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:04:49,1	0:04:55,9	0		empshiwi	14.10.2020 14:18:35	empshiwi	14.10.2020 14:18:35	00:00:06,7	0,78
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:04:56,8	0:04:58,2	0		empshiwi	14.10.2020 14:18:45	empshiwi	14.10.2020 14:18:45	00:00:01,3	0,16
?			Aperol_pilot_01_02_expert_A_cam1	speaking time\student	0:04:58,8	0:05:00,4	0		empshiwi	14.10.2020 14:19:03	empshiwi	14.10.2020 14:19:03	00:00:01,5	0,18
