Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?			Aperol_pilot_01_04_novice_C_cam1	Phase\lesson begin	0:00:56,9	0:00:57,6	0		empshiwi	15.10.2020 12:26:31	empshiwi	15.10.2020 12:26:31	00:00:00,6	0,09
?			Aperol_pilot_01_04_novice_C_cam1	speaking time\teachter	0:00:56,9	0:01:01,0	0		empshiwi	15.10.2020 12:27:07	empshiwi	15.10.2020 12:27:07	00:00:04,0	0,59
?			Aperol_pilot_01_04_novice_C_cam1	speaking time\student	0:01:00,7	0:01:03,0	0		empshiwi	15.10.2020 12:27:23	empshiwi	15.10.2020 12:27:23	00:00:02,3	0,34
?			Aperol_pilot_01_04_novice_C_cam1	speaking time\teachter	0:01:01,8	0:01:03,0	0		empshiwi	15.10.2020 12:27:32	empshiwi	15.10.2020 12:27:32	00:00:01,1	0,17
?			Aperol_pilot_01_04_novice_C_cam1	speaking time\teachter	0:01:03,8	0:01:05,5	0		empshiwi	15.10.2020 12:27:43	empshiwi	15.10.2020 12:27:43	00:00:01,6	0,24
?			Aperol_pilot_01_04_novice_C_cam1	speaking time\student	0:01:05,8	0:01:07,5	0		empshiwi	15.10.2020 12:27:55	empshiwi	15.10.2020 12:27:55	00:00:01,6	0,24
?			Aperol_pilot_01_04_novice_C_cam1	speaking time\teachter	0:01:06,9	0:01:07,6	0		empshiwi	15.10.2020 12:28:07	empshiwi	15.10.2020 12:28:07	00:00:00,7	0,10
?			Aperol_pilot_01_04_novice_C_cam1	speaking time\teachter	0:01:09,0	0:01:46,8	0		empshiwi	15.10.2020 12:30:14	empshiwi	15.10.2020 12:30:14	00:00:37,8	5,54
?			Aperol_pilot_01_04_novice_C_cam1	speaking time\student	0:01:13,0	0:01:13,5	0		empshiwi	15.10.2020 12:28:48	empshiwi	15.10.2020 12:28:48	00:00:00,5	0,07
?			Aperol_pilot_01_04_novice_C_cam1	Phase\organisation/transition points	0:00:57,0	0:01:20,1	0		empshiwi	15.10.2020 12:29:14	empshiwi	15.10.2020 12:29:14	00:00:23,1	3,39
