Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?			Aperol_pilot_02_01_novice_A_glasses	Phase\lesson begin	0:00:41,5	0:00:41,7	0		empshiwi	09.10.2020 08:57:27	empshiwi	09.10.2020 08:57:27	00:00:00,2	0,03
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:00:41,8	0:00:42,3	0		empshiwi	09.10.2020 08:57:56	empshiwi	09.10.2020 08:57:56	00:00:00,5	0,07
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\student	0:00:42,3	0:00:44,7	0		empshiwi	09.10.2020 08:58:05	empshiwi	09.10.2020 08:58:05	00:00:02,3	0,32
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:00:45,9	0:00:47,6	0		empshiwi	09.10.2020 08:58:15	empshiwi	09.10.2020 08:58:15	00:00:01,6	0,23
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\student	0:00:47,6	0:00:50,6	0		empshiwi	09.10.2020 08:58:28	empshiwi	09.10.2020 08:58:28	00:00:03,0	0,41
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:00:50,6	0:01:06,4	0		empshiwi	09.10.2020 08:59:07	empshiwi	09.10.2020 08:59:07	00:00:15,8	2,17
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:01:08,9	0:01:12,3	0		empshiwi	09.10.2020 08:59:37	empshiwi	09.10.2020 08:59:37	00:00:03,4	0,47
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:01:15,9	0:01:16,8	0		empshiwi	09.10.2020 08:59:50	empshiwi	09.10.2020 08:59:50	00:00:00,8	0,11
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\student	0:01:18,9	0:01:20,9	0		empshiwi	09.10.2020 09:00:07	empshiwi	09.10.2020 09:00:07	00:00:02,0	0,27
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:01:26,8	0:01:56,0	0		empshiwi	09.10.2020 10:03:26	empshiwi	09.10.2020 10:03:26	00:00:29,2	4,01
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\student	0:01:56,0	0:01:57,0	0		empshiwi	09.10.2020 09:01:32	empshiwi	09.10.2020 09:01:32	00:00:01,0	0,14
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:01:57,0	0:02:06,8	0		empshiwi	09.10.2020 09:02:04	empshiwi	09.10.2020 09:02:04	00:00:09,8	1,34
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\student	0:02:06,2	0:02:08,4	0		empshiwi	09.10.2020 10:04:57	empshiwi	09.10.2020 10:04:57	00:00:02,1	0,30
?			Aperol_pilot_02_01_novice_A_glasses	disturbance\drumming hands	0:02:07,2	0:03:11,6	0		empshiwi	09.10.2020 09:05:18	empshiwi	09.10.2020 09:05:18	00:01:04,4	8,85
?			Aperol_pilot_02_01_novice_A_glasses	disturbance\drumming hands\reacted	0:03:08,9	0:03:10,5	0		empshiwi	09.10.2020 09:06:05	empshiwi	09.10.2020 09:06:05	00:00:01,5	0,22
?			Aperol_pilot_02_01_novice_A_glasses	disturbance\drumming hands\reacted\verbal	0:03:08,9	0:03:10,5	0		empshiwi	09.10.2020 09:06:07	empshiwi	09.10.2020 09:06:07	00:00:01,5	0,22
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:02:09,4	0:02:13,6	0		empshiwi	09.10.2020 09:06:52	empshiwi	09.10.2020 09:06:52	00:00:04,1	0,57
?			Aperol_pilot_02_01_novice_A_glasses	disturbance\yelling	0:02:13,6	0:02:14,8	0		empshiwi	09.10.2020 09:07:16	empshiwi	09.10.2020 09:07:16	00:00:01,2	0,17
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:02:17,4	0:02:22,4	0		empshiwi	09.10.2020 10:06:08	empshiwi	09.10.2020 10:06:08	00:00:05,0	0,69
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:02:28,8	0:02:36,4	0		empshiwi	09.10.2020 09:08:13	empshiwi	09.10.2020 09:08:13	00:00:07,5	1,03
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\student	0:02:37,6	0:02:51,1	0		empshiwi	09.10.2020 09:09:22	empshiwi	09.10.2020 09:09:22	00:00:13,5	1,85
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:02:52,2	0:03:10,5	0		empshiwi	09.10.2020 09:10:20	empshiwi	09.10.2020 09:10:20	00:00:18,3	2,51
?			Aperol_pilot_02_01_novice_A_glasses	disturbance\head on table	0:02:56,5	0:03:47,5	0		empshiwi	09.10.2020 09:12:30	empshiwi	09.10.2020 09:12:30	00:00:51,0	7,01
?			Aperol_pilot_02_01_novice_A_glasses	disturbance\head on table\reacted	0:03:43,0	0:03:47,6	0		empshiwi	09.10.2020 09:11:39	empshiwi	09.10.2020 09:11:39	00:00:04,5	0,62
?			Aperol_pilot_02_01_novice_A_glasses	disturbance\head on table\reacted\verbal	0:03:43,0	0:03:47,6	0		empshiwi	09.10.2020 09:11:40	empshiwi	09.10.2020 09:11:40	00:00:04,5	0,62
?			Aperol_pilot_02_01_novice_A_glasses	disturbance\head on table\perceived	0:03:39,4	0:03:41,0	0		empshiwi	09.10.2020 09:12:10	empshiwi	09.10.2020 09:12:10	00:00:01,5	0,21
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\student	0:03:10,6	0:03:12,0	0		empshiwi	09.10.2020 09:13:03	empshiwi	09.10.2020 09:13:03	00:00:01,4	0,19
?			Aperol_pilot_02_01_novice_A_glasses	Phase\single	0:03:08,8	0:06:49,2	0		empshiwi	09.10.2020 09:30:14	empshiwi	09.10.2020 09:30:14	00:03:40,4	30,24
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:03:16,4	0:03:18,7	0		empshiwi	09.10.2020 09:14:19	empshiwi	09.10.2020 09:14:19	00:00:02,3	0,32
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\teacher	0:03:43,1	0:03:47,6	0		empshiwi	09.10.2020 09:14:56	empshiwi	09.10.2020 09:14:56	00:00:04,4	0,62
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\student	0:03:48,2	0:03:48,9	0		empshiwi	09.10.2020 09:15:06	empshiwi	09.10.2020 09:15:06	00:00:00,7	0,10
?			Aperol_pilot_02_01_novice_A_glasses	speaking time\student	0:03:56,7	0:03:58,6	0		empshiwi	09.10.2020 09:15:24	empshiwi	09.10.2020 09:15:24	00:00:01,9	0,26
