Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	Phase\lesson begin	0:00:10,8	0:00:11,1	0		Segolei	22.10.2020 11:26:43	Segolei	22.10.2020 11:26:43	00:00:00,2	0,03
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	speaking time\teacher	0:00:10,9	0:00:14,8	0		Segolei	22.10.2020 11:27:03	Segolei	22.10.2020 11:27:03	00:00:03,8	0,56
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	speaking time\teacher	0:00:15,7	0:00:19,0	0		Segolei	22.10.2020 11:27:20	Segolei	22.10.2020 11:27:20	00:00:03,3	0,49
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	speaking time\student	0:00:19,2	0:00:20,7	0		Segolei	22.10.2020 11:27:44	Segolei	22.10.2020 11:27:44	00:00:01,5	0,22
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	Phase\organisation/transition points	0:00:10,9	0:00:20,8	0		Segolei	22.10.2020 11:27:59	Segolei	22.10.2020 11:27:59	00:00:09,9	1,45
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	speaking time\teacher	0:00:20,9	0:00:32,9	0		Segolei	22.10.2020 11:28:30	Segolei	22.10.2020 11:28:30	00:00:12,0	1,74
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	speaking time\teacher	0:00:34,4	0:00:52,3	0		empschulml	22.10.2020 11:40:19	empschulml	22.10.2020 11:40:19	00:00:17,9	2,59
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	speaking time\teacher	0:00:53,8	0:01:13,2	0		empschulml	22.10.2020 11:41:02	empschulml	22.10.2020 11:41:02	00:00:19,4	2,82
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	speaking time\student	0:01:13,3	0:01:13,9	0		empschulml	22.10.2020 11:41:34	empschulml	22.10.2020 11:41:34	00:00:00,6	0,09
?		kodiert von Anna	Aperol_pilot_02_02_novice_B_cam1	speaking time\teacher	0:01:15,0	0:01:15,3	0		Segolei	26.10.2020 09:50:04	Segolei	26.10.2020 09:50:04	00:00:00,3	0,04
