Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?			Aperol_pilot_02_04_novice_D_cam1	Phase\lesson begin	0:00:17,1	0:00:17,4	0		empshiwi	09.10.2020 14:27:39	empshiwi	09.10.2020 14:27:39	00:00:00,2	0,04
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:00:17,1	0:00:19,9	0		empshiwi	09.10.2020 14:28:02	empshiwi	09.10.2020 14:28:02	00:00:02,7	0,39
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:00:21,6	0:00:22,8	0		empshiwi	09.10.2020 14:28:11	empshiwi	09.10.2020 14:28:11	00:00:01,1	0,16
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:00:24,6	0:00:25,5	0		empshiwi	09.10.2020 14:28:23	empshiwi	09.10.2020 14:28:23	00:00:00,8	0,12
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:00:26,0	0:00:28,5	0		empshiwi	09.10.2020 14:28:56	empshiwi	09.10.2020 14:28:56	00:00:02,5	0,37
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:00:28,6	0:00:31,9	0		empshiwi	09.10.2020 14:29:11	empshiwi	09.10.2020 14:29:11	00:00:03,3	0,47
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:00:33,5	0:00:48,0	0		empshiwi	09.10.2020 14:30:23	empshiwi	09.10.2020 14:30:23	00:00:14,5	2,05
?			Aperol_pilot_02_04_novice_D_cam1	Phase\organisation/transition points	0:00:17,1	0:00:33,4	0		empshiwi	09.10.2020 14:29:55	empshiwi	09.10.2020 14:29:55	00:00:16,3	2,30
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:00:49,0	0:00:49,9	0		empshiwi	09.10.2020 14:30:42	empshiwi	09.10.2020 14:30:42	00:00:00,9	0,13
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:00:50,4	0:00:51,4	0		empshiwi	09.10.2020 14:30:51	empshiwi	09.10.2020 14:30:51	00:00:00,9	0,14
