Recording	Participant	Variable1	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Number_of_Events.calibration_end	Number_of_Events.calibration_start	Time_to_first_Event.calibration_end	Time_to_first_Event.calibration_start	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation
Recording033	01_04_C	Novice	Calibration phase	1	fullstream	17224	23641	1	0	16224		15311	1094	14	320
Recording033	01_04_C	Novice	Entire Recording	1	fullstream	723922	0	1	1	39865	22641	384537	500	769	280
Recording034	01_02_A	Expert	Calibration phase	1	fullstream	13335	4742	1	0	12335		10194	1019	10	300
Recording034	01_02_A	Expert	Entire Recording	1	fullstream	838026	0	1	1	17076	3742	385812	361	1070	440
Recording035	01_03_B	Novice	Calibration phase	1	fullstream	10615	3910	1	0	9615		9234	543	17	500
Recording035	01_03_B	Novice	Entire Recording	1	fullstream	744444	0	1	1	13525	2910	374315	607	617	380
Recording036	01_01_D	Expert	Calibration phase	1	fullstream	16470	2986	1	0	15470		14372	1597	9	340
Recording036	01_01_D	Expert	Entire Recording	1	fullstream	781978	0	1	1	18456	1986	316571	394	803	1859
Recording037	02_01_A	Novice	Calibration phase	1	fullstream	17902	5748	1	0	16902		5157	397	13	300
Recording037	02_01_A	Novice	Entire Recording	1	fullstream	729762	0	1	1	22649	4748	101541	178	569	80
Recording038	02_02_B	Novice	Calibration phase	1	fullstream	12325	3502	1	0	11325		10654	888	12	1359
Recording038	02_02_B	Novice	Entire Recording	1	fullstream	730565	0	1	1	14827	2502	520431	457	1140	160
Recording039	02_03_C	Novice	Calibration phase	1	fullstream	16494	6462	1	0	15494		14151	786	18	220
Recording039	02_03_C	Novice	Entire Recording	1	fullstream	737604	0	1	1	21956	5462	469018	448	1048	200
Recording040	02_04_D	Novice	Calibration phase	1	fullstream	20964	3690	1	0	19964		19128	1366	14	2459
Recording040	02_04_D	Novice	Entire Recording	1	fullstream	747729	0	1	1	23654	2690	438655	716	613	220
