Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	Phase\lesson begin	0:00:44,0	0:00:44,2	0		empshiwi	15.10.2020 13:55:31	empshiwi	15.10.2020 13:55:31	00:00:00,2	0,04
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	speaking time\teacher	0:00:44,3	0:00:47,2	0		empshiwi	15.10.2020 13:58:47	empshiwi	15.10.2020 13:58:47	00:00:02,8	0,39
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	speaking time\teacher	0:00:49,2	0:00:50,7	0		empshiwi	15.10.2020 13:59:08	empshiwi	15.10.2020 13:59:08	00:00:01,4	0,19
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	speaking time\student	0:00:51,0	0:00:52,7	0		empshiwi	15.10.2020 13:59:26	empshiwi	15.10.2020 13:59:26	00:00:01,6	0,22
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	speaking time\teacher	0:00:51,7	0:00:52,6	0		empshiwi	15.10.2020 13:59:34	empshiwi	15.10.2020 13:59:34	00:00:00,8	0,12
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	speaking time\teacher	0:00:52,8	0:00:53,8	0		empshiwi	15.10.2020 13:59:47	empshiwi	15.10.2020 13:59:47	00:00:00,9	0,13
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	speaking time\teacher	0:00:54,0	0:00:55,5	0		empshiwi	15.10.2020 13:59:56	empshiwi	15.10.2020 13:59:56	00:00:01,4	0,19
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	Phase\organisation/transition points	0:00:44,0	0:00:55,6	0		empshiwi	15.10.2020 14:00:01	empshiwi	15.10.2020 14:00:01	00:00:11,6	1,58
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	speaking time\teacher	0:00:55,7	0:01:49,7	0		empshiwi	15.10.2020 14:01:09	empshiwi	15.10.2020 14:01:09	00:00:54,0	7,30
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	speaking time\teacher	0:01:50,7	0:01:54,8	0		empshiwi	15.10.2020 14:01:25	empshiwi	15.10.2020 14:01:25	00:00:04,0	0,54
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	disturbance\chatting with neighbor_scripted\reacted	0:01:50,7	0:01:54,8	0		empshiwi	15.10.2020 14:01:31	empshiwi	15.10.2020 14:01:31	00:00:04,0	0,54
?		kodiert von Anna	Aperol_pilot_01_01_expert_D_cam4	disturbance\chatting with neighbor_scripted\reacted\verbal	0:01:50,7	0:01:54,8	0		empshiwi	15.10.2020 14:01:33	empshiwi	15.10.2020 14:01:33	00:00:04,0	0,54
