Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	Phase\lesson begin	0:00:44,4	0:00:44,6	0		empshiwi	15.10.2020 10:19:29	empshiwi	15.10.2020 10:19:29	00:00:00,1	0,03
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:00:44,4	0:01:20,7	0		empshiwi	15.10.2020 10:20:36	empshiwi	15.10.2020 10:20:36	00:00:36,3	5,15
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	Phase\teachers lecture	0:00:44,4	0:01:20,7	0		empshiwi	15.10.2020 10:20:41	empshiwi	15.10.2020 10:20:41	00:00:36,3	5,15
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	Phase\single	0:01:20,8	0:01:51,7	0		empshiwi	15.10.2020 10:28:36	empshiwi	15.10.2020 10:28:36	00:00:30,8	4,37
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:01:42,2	0:01:42,5	0		empshiwi	15.10.2020 10:22:34	empshiwi	15.10.2020 10:22:34	00:00:00,2	0,04
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\asking question	0:01:41,1	0:01:47,9	0		empshiwi	15.10.2020 10:23:10	empshiwi	15.10.2020 10:23:10	00:00:06,8	0,96
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:01:43,5	0:01:47,9	0		empshiwi	15.10.2020 10:23:19	empshiwi	15.10.2020 10:23:19	00:00:04,4	0,62
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\asking question\perceived	0:01:41,7	0:01:41,8	0		empshiwi	15.10.2020 10:23:37	empshiwi	15.10.2020 10:23:37	00:00:00,1	0,02
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\asking question\reacted\verbal	0:01:42,2	0:01:42,5	0		empshiwi	15.10.2020 10:23:41	empshiwi	15.10.2020 10:23:41	00:00:00,2	0,04
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\asking question\reacted	0:01:41,8	0:01:42,9	0		empshiwi	15.10.2020 10:24:39	empshiwi	15.10.2020 10:24:39	00:00:01,1	0,16
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:01:48,2	0:01:48,8	0		empshiwi	15.10.2020 10:24:04	empshiwi	15.10.2020 10:24:04	00:00:00,6	0,08
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:01:48,2	0:01:51,0	0		empshiwi	15.10.2020 10:24:12	empshiwi	15.10.2020 10:24:12	00:00:02,8	0,40
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\asking question\reacted	0:01:48,2	0:01:48,8	0		empshiwi	15.10.2020 10:24:18	empshiwi	15.10.2020 10:24:18	00:00:00,6	0,08
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\asking question\reacted\verbal	0:01:48,2	0:01:48,8	0		empshiwi	15.10.2020 10:24:20	empshiwi	15.10.2020 10:24:20	00:00:00,6	0,08
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\asking question\reacted\nonverbal	0:01:41,8	0:01:42,9	0		empshiwi	15.10.2020 10:24:41	empshiwi	15.10.2020 10:24:41	00:00:01,1	0,16
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:01:51,7	0:02:23,3	0		empshiwi	15.10.2020 10:26:19	empshiwi	15.10.2020 10:26:19	00:00:31,5	4,47
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\asking question\reacted	0:01:51,7	0:02:03,0	0		empshiwi	15.10.2020 10:25:20	empshiwi	15.10.2020 10:25:20	00:00:11,2	1,59
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\asking question\reacted\verbal	0:01:51,7	0:02:03,0	0		empshiwi	15.10.2020 10:25:21	empshiwi	15.10.2020 10:25:21	00:00:11,2	1,59
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:02:24,7	0:02:38,0	0		empshiwi	15.10.2020 10:26:53	empshiwi	15.10.2020 10:26:53	00:00:13,2	1,87
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:02:38,6	0:02:44,0	0		empshiwi	15.10.2020 10:27:26	empshiwi	15.10.2020 10:27:26	00:00:05,3	0,75
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:02:45,0	0:02:49,5	0		empshiwi	15.10.2020 10:27:46	empshiwi	15.10.2020 10:27:46	00:00:04,4	0,63
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:02:50,2	0:02:54,7	0		empshiwi	15.10.2020 10:28:01	empshiwi	15.10.2020 10:28:01	00:00:04,4	0,62
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	Phase\teachers lecture	0:01:51,7	0:02:44,0	0		empshiwi	15.10.2020 10:28:25	empshiwi	15.10.2020 10:28:25	00:00:52,3	7,42
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:02:54,9	0:03:00,4	0		empshiwi	15.10.2020 10:29:00	empshiwi	15.10.2020 10:29:00	00:00:05,5	0,78
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\clicking pen	0:02:19,0	0:02:42,9	0		empshiwi	15.10.2020 10:32:54	empshiwi	15.10.2020 10:32:54	00:00:23,9	3,39
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\clicking pen\not reacted	0:02:19,0	0:02:42,9	0		empshiwi	15.10.2020 10:32:55	empshiwi	15.10.2020 10:32:55	00:00:23,9	3,39
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\drawing	0:02:39,7	0:04:51,8	0		empshiwi	15.10.2020 10:36:04	empshiwi	15.10.2020 10:36:04	00:02:12,1	18,72
