Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	Phase\lesson begin	0:00:14,7	0:00:15,0	0		empschulml	20.10.2020 14:52:56	empschulml	20.10.2020 14:52:56	00:00:00,3	0,04
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:00:15,0	0:00:20,7	0		empschulml	20.10.2020 14:54:09	empschulml	20.10.2020 14:54:09	00:00:05,7	0,84
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	Phase\teachers lecture	0:00:22,0	0:00:55,2	0		empschulml	20.10.2020 14:58:02	empschulml	20.10.2020 14:58:02	00:00:33,2	4,89
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:00:22,1	0:00:28,0	0		empschulml	20.10.2020 14:55:07	empschulml	20.10.2020 14:55:07	00:00:05,8	0,86
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:00:30,0	0:00:55,2	0		empschulml	20.10.2020 14:57:13	empschulml	20.10.2020 14:57:13	00:00:25,2	3,71
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:00:28,3	0:00:29,0	0		empschulml	20.10.2020 14:56:06	empschulml	20.10.2020 14:56:06	00:00:00,7	0,10
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	Phase\organisation/transition points	0:00:15,0	0:00:22,1	0		empschulml	20.10.2020 14:58:20	empschulml	20.10.2020 14:58:20	00:00:07,1	1,06
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:00:57,2	0:01:10,9	0		empschulml	20.10.2020 14:58:56	empschulml	20.10.2020 14:58:56	00:00:13,6	2,00
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	Phase\class discussion	0:00:55,3	0:03:18,5	0		empschulml	20.10.2020 16:59:20	empschulml	20.10.2020 16:59:20	00:02:23,2	21,07
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:15,5	0:01:24,9	0		empschulml	20.10.2020 15:03:02	empschulml	20.10.2020 15:03:02	00:00:09,4	1,39
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:14,2	0:01:15,0	0		empschulml	20.10.2020 15:03:26	empschulml	20.10.2020 15:03:26	00:00:00,7	0,11
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:26,6	0:01:32,5	0		empschulml	20.10.2020 15:07:35	empschulml	20.10.2020 15:07:35	00:00:05,9	0,87
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	disturbance\yelling	0:01:34,7	0:01:37,6	0		empschulml	20.10.2020 15:07:02	empschulml	20.10.2020 15:07:02	00:00:02,8	0,43
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:32,2	0:01:33,8	0		empschulml	20.10.2020 15:07:48	empschulml	20.10.2020 15:07:48	00:00:01,5	0,22
