ID	questionnaire label	group	what	personID	session	unit	itemID	scale_original	scale	shortID	perspective	item wordings	value	target	age	gender	experience	conception 	class 	age adult education	alpha
1	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	1	Klassenmanagement	Classroom management	km_mitbekommen	self-assessment	Ich habe alles mitbekommen, was in der Klasse passiert ist.	3	A	44	1	15	0	0	0	0.8347826
2	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	1	Klassenmanagement	Classroom management	km_klar	self-assessment	Den Schüler*innen war jederzeit klar, was sie tun sollten.	2	A	44	1	15	0	0	0	0.8347826
3	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	1	Klassenmanagement	Classroom management	km_ungestört	self-assessment	Die Schüler*innen konnten ungestört arbeiten.	2	A	44	1	15	0	0	0	0.8347826
4	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	1	Klassenmanagement	Classroom management	km_aktiv	self-assessment	Die Schüler*innen war die ganze Stunde über aktiv bei der Sache.	2	A	44	1	15	0	0	0	0.8347826
5	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_freundlich	self-assessment	Ich war freundlich zu den Schüler*innen.	3	A	44	1	15	0	0	0	0.784926
6	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_interesse	self-assessment	Es gab Aufgaben, die etwas mit den Interessen oder den Alltagerfahrungen der Schüler*innen zu tun haben. 	3	A	44	1	15	0	0	0	0.784926
7	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_kritik	self-assessment	Ich habe Fehler nicht kritisiert, sondern als Lerngelegenheit betrachtet.	2	A	44	1	15	0	0	0	0.784926
8	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_ausreden	self-assessment	Ich habe die Schüler*innen ausreden lassen, wenn sie dran waren. 	3	A	44	1	15	0	0	0	0.784926
9	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_überlegen	self-assessment	Wenn ich Fragen oder Aufgaben gestellt habe, habe ich den Lernenden ausreichend Zeit zum Überlegen gelassen.	3	A	44	1	15	0	0	0	0.784926
10	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	2	Lernförderliches Klima und Motivierung	Positive climate and motivation	lkm_rückmeldungen	self-assessment	Meine Hinweise und Rückmeldungen waren für die Schüler*innen hilfreich.	2	A	44	1	15	0	0	0	0.784926
11	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	3	Klarheit und Strukturiertheit	Clarity and structuredness	ks_verständlich	self-assessment	Ich habe so erklärt, dass die Lernenden alles verstanden haben.	3	A	44	1	15	0	0	0	-0.7619048
12	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	3	Klarheit und Strukturiertheit	Clarity and structuredness	ks_sichtbar	self-assessment	Der Lernstoff wurde siochtbar gemacht, zum Biepsile durch Schaubild, Mindmap, Poster oder Zeichnung.	1	A	44	1	15	0	0	0	-0.7619048
13	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	4	Aktivierung und Förderung	Activation and support	af_beiträge	self-assessment	Die Schüler*innen haben sich mit eigenen Beiträgen am Unterrichtsbespräch beteiligt. 	3	A	44	1	15	0	0	0	0.8517745
14	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	4	Aktivierung und Förderung	Activation and support	af_wechselseitig	self-assessment	Die Schüler*innen haben sich wechselseitig etwas erklärt, sich Fragen gestellt oder Rückmeldung gegeben.	2	A	44	1	15	0	0	0	0.8517745
15	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	4	Aktivierung und Förderung	Activation and support	af_nachdenken	self-assessment	Es gab Fragen oder Antworten, bei denen die Schüler*innen richtig nachdenken mussten.	2	A	44	1	15	0	0	0	0.8517745
16	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	5	Präsenz/Haltung_Blick	Presence: posture/gaze	phb_stand	self-assessment	Ich stand gerade und aufrcht. 	3	A	44	1	15	0	0	0	0.8541827
17	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	5	Präsenz/Haltung_Blick	Presence: posture/gaze	phb_augen	self-assessment	Ich habe den Schüler*innen direkt in die Aufgen geschaut.	4	A	44	1	15	0	0	0	0.8541827
18	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	5	Präsenz/Haltung_Blick	Presence: posture/gaze	phb_blick	self-assessment	Ich hatte die ganze Klasse im Blick. 	3	A	44	1	15	0	0	0	0.8541827
19	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	5	Präsenz/Haltung_Blick	Presence: posture/gaze	phb_vorsichgeht	self-assessment	Ich wusste immer genau, was in der Klasse vor sich geht. 	2	A	44	1	15	0	0	0	0.8541827
20	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	5	Präsenz/Haltung_Blick	Presence: posture/gaze	phb_raum	self-assessment	Während der Stunde ging ich oft durch die Reihen der Klasse.	1	A	44	1	15	0	0	0	0.8541827
21	Aperol_pilot_01_02_expert_A_quest	expert	data	2	001	002	5	Präsenz/Haltung_Blick	Presence: posture/gaze	phb_gestik	self-assessment	Die Gestik und Mimik untersützten meinen Ausruck.	2	A	44	1	15	0	0	0	0.8541827
