Recording	Participant	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	1	fullstream	Fixation	Whole	1	218	637	420	StudentA	1	0,30887	0,15678	2,95971
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	1	fullstream	Fixation	Whole	2	697	3196	2499	StudentA	1	0,37442	0,14533	2,96041
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	1	fullstream	Fixation	Whole	3	3236	3436	200	StudentB	1	0,46067	0,15489	2,97498
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	1	fullstream	Fixation	Whole	4	3496	4815	1319	StudentA	1	0,3805	0,12556	2,99622
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	1	fullstream	Fixation	Whole	5	4855	5255	400	StudentB	1	0,51657	0,15133	2,96292
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	1	fullstream	Fixation	Whole	6	5295	5595	300	StudentA	1	0,37255	0,15673	2,95999
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	1	fullstream	Fixation	Whole	7	5714	5794	80	StudentC	1	0,81107	0,18601	2,99266
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	1	fullstream	Fixation	Whole	8	5814	6114	300	StudentC	1	0,75499	0,18147	3,02064
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	1	fullstream	Fixation	Whole	9	6354	7633	1279	StudentA	1	0,39319	0,08266	2,98526
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	2	fullstream	Fixation	Partial	1	0	312	312	StudentC	1	0,58562	0,04371	2,88029
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	2	fullstream	Fixation	Whole	2	652	1591	939	StudentA	1	0,45354	0,32885	2,91832
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	2	fullstream	Fixation	Whole	3	1631	2071	440	StudentA	1	0,51462	0,21739	2,9132
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	2	fullstream	Fixation	Whole	4	2111	2771	660	StudentA	1	0,46298	0,35853	2,95908
Recording033	PilotA_PersonC_290720	Novice	Reaction_nonverbal	2	fullstream	Fixation	Whole	5	2831	3590	760	StudentA	1	0,49785	0,14501	2,92372
