questionnaire label	session	unit	itemid	item	shortID	student/teacher/experimenter	itemfulltext	scale: stimme nicht zu /stimme eher nicht zu / stimme eher zu / stimme zu / keine Angabe / freie Angabe	value	ID-number	answered for	age	sex	experience	conception 	class 	age adult education		value																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_lernstoff	exp	Die gesamte Unterrichtsstunde wurde für den Lernstoff verwendet.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_mitbekommen	exp	Die Lehrperson hat alles mitbekommen, was in der Klasse passiert ist.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	kkm_klar	exp	Den Schüler*innen war jederzeit klar, was sie tun sollten.			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_unegstört	exp	Die Schüler*innen konnten ungestört arbeiten.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_aktiv	exp	Die Schüler*innen waren die ganze Stunde über aktiv bei der Sache.			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_freundlich	exp	Die Lehrperson war freundlich zu den Schüler*innen.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_interesse	exp	Es gab Aufgaben, die etwas mit dem Interessen oder den Alltagserfahrungen der Schüler*innen zu tun haben			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_kritik	exp	Die Lehrperson hat Fehler nicht kritisiert, sondern als Lerngelegenheit betrachtet.			exp	A								4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_ausreden	exp	Die Lehrperson die Schüler*innen ausreden lasse, wenn sie dran waren.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_überlegen	exp	Wenn die Lehrperson Frage oder Aufgaben gestellt hat, hat sie den Schüler*innen ausreichend Zeit zum Überlegen gelassen. 			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_rückmeldungen	exp	Die Hinweise und Rückmeldungen der Lehrperson waren für die Schüler*innen hilfreich.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	lkm_funktion	exp	Den Schüler*innen ist klar, was sie in dieser Stunde lernen sollten.			exp	A								4																																							
