questionnaire label	personID	session	unit	itemID	scale	shortID	perspective	item wordings	value	target	age	sex	experience	conception 	class 	age adult education
Aperol_pilot_01_02_expert_A_quest	111	001	002	1	Klassenmanagement	km_lernstoff	observer	Die gesamte Unterrichtsstunde wurde für den Lernstoff verwendet.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	1	Klassenmanagement	km_mitbekommen	observer	Die Lehrperson hat alles mitbekommen, was in der Klasse passiert ist.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	1	Klassenmanagement	kkm_klar	observer	Den Schüler*innen war jederzeit klar, was sie tun sollten.	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	1	Klassenmanagement	km_unegstört	observer	Die Schüler*innen konnten ungestört arbeiten.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	1	Klassenmanagement	km_aktiv	observer	Die Schüler*innen waren die ganze Stunde über aktiv bei der Sache.	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	2	Lernförderliches Klima und Motivierung	lkm_freundlich	observer	Die Lehrperson war freundlich zu den Schüler*innen.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	2	Lernförderliches Klima und Motivierung	lkm_interesse	observer	Es gab Aufgaben, die etwas mit dem Interessen oder den Alltagserfahrungen der Schüler*innen zu tun haben	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	2	Lernförderliches Klima und Motivierung	lkm_kritik	observer	Die Lehrperson hat Fehler nicht kritisiert, sondern als Lerngelegenheit betrachtet.	4	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	2	Lernförderliches Klima und Motivierung	lkm_ausreden	observer	Die Lehrperson die Schüler*innen ausreden lasse, wenn sie dran waren.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	2	Lernförderliches Klima und Motivierung	lkm_überlegen	observer	Wenn die Lehrperson Frage oder Aufgaben gestellt hat, hat sie den Schüler*innen ausreichend Zeit zum Überlegen gelassen. 	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	2	Lernförderliches Klima und Motivierung	lkm_rückmeldungen	observer	Die Hinweise und Rückmeldungen der Lehrperson waren für die Schüler*innen hilfreich.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	3	Klarheit und Strukturiertheit	lkm_funktion	observer	Den Schüler*innen ist klar, was sie in dieser Stunde lernen sollten.	4	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	3	Klarheit und Strukturiertheit	ks_verständlich	observer	Die Lehrperson so erklärt, dass die Schüler*innen alles verstanden haben.	4	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	3	Klarheit und Strukturiertheit	ks_sichtbar	observer	Der Lernstoff wurde sichtbar gemacht, zum Beipsiel durch Schaubild, Mindmap, Poster oder Zeichnung.	4	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	3	Klarheit und Strukturiertheit	ks_deutlich	observer	Die Lehrperson hat darauf geachtet, dass jede*r klar und deutlich spricht.	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	3	Klarheit und Strukturiertheit	ks_zusammenfassend	observer	Die wichtigsten Punkte wurden zusammengefasst.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	4	Aktivierung und Förderung	af_beiträge	observer	Die Schüler*innen haben sich mit eigenen Beiträgen am Unterrichtsbespräch beteiligt. 	4	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	4	Aktivierung und Förderung	af_wechselseitig	observer	Die Schüler*innen haben sich wechselseitig etwas erklärt, sich Fragen gestellt oder Rückmeldung gegeben.	4	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	4	Aktivierung und Förderung	af_nachdenken	observer	Es gab Fragen oder Aufgaben, bei denen die Schüler*innen richtig nachdenken mussten.	4	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	4	Aktivierung und Förderung	af_schwierigkeit	observer	Den Schüler*innen standen Aufgaben mit unterschiedlichen Schwierigkeitsstufen und unterschiedlichen Hilfen zur Wahl.	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	4	Aktivierung und Förderung	af_individuell	observer	Es gab Aufgaben, bei denen die Schüler*innen selbst entscheiden konnten, auf welche Weise sie sie bearbeiten.	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	4	Aktivierung und Förderung	af_beherrschen	observer	Die Lehrperson hat darauf geachtet, dass alle den Lernstoff des Unterrichts sicher beherrschen. 	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	5	Präsenz/Haltung_Blick	phb_stand	observer	Die Lehrperson stand gerade und aufrecht. 	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	5	Präsenz/Haltung_Blick	phb_augen	observer	Die Lehrperson hat den Schüler*innen direkt in die Augen geschaut. 	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	5	Präsenz/Haltung_Blick	phb_blick	observer	Die Lehrperson hatte die ganze Klasse im Blick. 	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	5	Präsenz/Haltung_Blick	phb_vorsichgeht	observer	Die Lehrperson wusste immer genau, was in der Klasse vor sich geht. 	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	5	Präsenz/Haltung_Blick	phb_raum	observer	Während der Stunde ging die Lehrperson oft durch die Reihen der Klasse.	1	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	5	Präsenz/Haltung_Blick	phb_gestik	observer	Die Gestik und Mimik unterstützt den Ausdruck der Lehrperson. 	4	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	5	Präsenz/Haltung_Blick	phb_alleangesehen	observer	Ich hatte den Eindruck, dass die Lehrperson alle oft angesehen hat.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	6	Präsenz/Stimme  	ps_deutlich	observer	Die Lehrperson hat klar, deutlich und langsam gesprochen.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	6	Präsenz/Stimme  	ps_klar	observer	Die Lehrperson hat sich klar und verständlich ausgedrückt.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	6	Präsenz/Stimme  	ps_impulse	observer	Die Arbeitsaufträge waren präzise, klar und kurz formiliert.	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	6	Präsenz/Stimme 	ps_vorgehen	observer	Vor einem Methodenwechsel erklärte die Lehrperson nochmals kurz das Vorgehen und die geltenden Regeln (z.B. bei Gruppenarbeit).	1	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_nonverbal	observer	Bei Unterrichtsstörungen hat die Lehrperson oft nonverbale Signale, wie z.B. Stirnrunteln oder mahnende Blicke, verwendet.	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_zubewegen	observer	Bei Unterrichtssörungen hat die Lehrperson sie oft auf störende/unruhig werdende Schüler*innen zubewegt, um sie zu ermahnen.	2	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_direkt	observer	Bei Unterrichtsstörungen hat die Leherspersoin störende Schüler*innen direkt angesprochen.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	8	Redeanteil	redeanteil	observer	Meine Einschätzung des Redeanteils der Lehrperson liegt bei ___%.	70	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	9	Manipulationsitem	m_natürlich	observer	Während der Stunde hat sich die Lehrperson sehr natürlich verhalten.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	9	Manipulationsitem	m_fiktiv	observer	Ich hatte den Eindruck, dass es für die Lehrperson kein Problem war, vor einer fiktiven Klassen zu unterrichten.	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	111	001	002	9	Manipulationsitem 	m_verhalten	observer	Ich hatte den Eiundruck, dass sich die Leherperson beim Unterrichten vor der fiktiven Klasse so verhalten hat, wie sie es auch in Stunde tun würde. 	3	A	27	0	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	1	Klassenmanagement	km_lernstoff	teacher	Die gesamte Unterrichtssequenz wurde für den Lernstoff verwendet.	3	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	1	Klassenmanagement	km_mitbekommen	teacher	Ich habe alles mitbekommen, was in der Klasse passiert ist.	3	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	1	Klassenmanagement	kkm_klar	teacher	Den Schüler*innen war jederzeit klar, was sie tun sollten.	2	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	1	Klassenmanagement	km_unegstört	teacher	Die Schüler*innen konnten ungestört arbeiten.	2	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	1	Klassenmanagement	km_aktiv	teacher	Die Schüler*innen war die ganze Stunde über aktiv bei der Sache.	2	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	2	Lernförderliches Klima und Motivierung	lkm_freundlich	teacher	Ich war freundlich zu den Schüler*innen.	3	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	2	Lernförderliches Klima und Motivierung	lkm_interesse	teacher	Es gab Aufgaben, die etwas mit den Interessen oder den Alltagerfahrungen der Schüler*innen zu tun haben. 	3	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	2	Lernförderliches Klima und Motivierung	lkm_kritik	teacher	Ich habe Fehler nicht kritisiert, sondern als Lerngelegenheit betrachtet.	2	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	2	Lernförderliches Klima und Motivierung	lkm_ausreden	teacher	Ich habe die Schüler*innen ausreden lassen, wenn sie dran waren. 	3	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	2	Lernförderliches Klima und Motivierung	lkm_überlegen	teacher	Wenn ich Fragen oder Aufgaben gestellt habe, habe ich den Lernenden ausreichend Zeit zum Überlegen gelassen.	3	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	2	Lernförderliches Klima und Motivierung	lkm_rückmeldungen	teacher	Meine Hinweise und Rückmeldungen waren für die Schüler*innen hilfreich.	2	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	3	Klarheit und Strukturiertheit	lkm_funktion	teacher	Die Schüler*innen ist klar, was sie in dieser Stunde lernen sollten.	2	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	3	Klarheit und Strukturiertheit	ks_verständlich	teacher	Ich habe so erklärt, dass die Lernenden alles verstanden haben.	3	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	3	Klarheit und Strukturiertheit	ks_sichtbar	teacher	Der Lernstoff wurde siochtbar gemacht, zum Biepsile durch Schaubild, Mindmap, Poster oder Zeichnung.	1	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	3	Klarheit und Strukturiertheit	ks_deutlich	teacher	Ich habe darauf geachtet, dass jede*r klar und deutlich spricht.	3	A	44	1	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	222	001	002	3	Klarheit und Strukturiertheit	ks_zusammenfassend	teacher	Die wichtigesten Punkte wurden zusammengefasst.	1	A	44	1	0	0	0	0
