Recording	Participant	Toi	Interval	Media	Duration of interval	Start of interval	Time_to_first_Event.Logged live Event	Time_to_first_Event.computer_END	Time_to_first_Event.computer_START	Time_to_first_Event.gregor_END	Time_to_first_Event.gregor_START	Time_to_first_Event.plant_END	Time_to_first_Event.plant_START	Time_to_first_Event.teddy_END	Time_to_first_Event.teddy_START	Number_of_Events.Logged live Event	Number_of_Events.computer_END	Number_of_Events.computer_START	Number_of_Events.gregor_END	Number_of_Events.gregor_START	Number_of_Events.plant_END	Number_of_Events.plant_START	Number_of_Events.teddy_END	Number_of_Events.teddy_START	Total_duration_of_fixations.computer	Total_duration_of_fixations.gregor	Total_duration_of_fixations.plant	Total_duration_of_fixations.teddy	Average_duration_of_fixations.computer	Average_duration_of_fixations.gregor	Average_duration_of_fixations.plant	Average_duration_of_fixations.teddy	Number_of_fixations.computer	Number_of_fixations.gregor	Number_of_fixations.plant	Number_of_fixations.teddy	Time_to_first_fixation.computer	Time_to_first_fixation.gregor	Time_to_first_fixation.plant	Time_to_first_fixation.teddy	Duration_of_first_fixation.computer	Duration_of_first_fixation.gregor	Duration_of_first_fixation.plant	Duration_of_first_fixation.teddy	Total_duration_of_whole_fixations.computer	Total_duration_of_whole_fixations.gregor	Total_duration_of_whole_fixations.plant	Total_duration_of_whole_fixations.teddy	Average_duration_of_whole_fixations.computer	Average_duration_of_whole_fixations.gregor	Average_duration_of_whole_fixations.plant	Average_duration_of_whole_fixations.teddy	Number_of_whole_fixations.computer	Number_of_whole_fixations.gregor	Number_of_whole_fixations.plant	Number_of_whole_fixations.teddy	Time_to_first_whole_fixation.computer	Time_to_first_whole_fixation.gregor	Time_to_first_whole_fixation.plant	Time_to_first_whole_fixation.teddy	Duration_of_first_whole_fixation.computer	Duration_of_first_whole_fixation.gregor	Duration_of_first_whole_fixation.plant	Duration_of_first_whole_fixation.teddy	Total_duration_of_Visit.computer	Total_duration_of_Visit.gregor	Total_duration_of_Visit.plant	Total_duration_of_Visit.teddy	Average_duration_of_Visit.computer	Average_duration_of_Visit.gregor	Average_duration_of_Visit.plant	Average_duration_of_Visit.teddy	Number_of_Visits.computer	Number_of_Visits.gregor	Number_of_Visits.plant	Number_of_Visits.teddy	Total_duration_of_Glances.computer	Total_duration_of_Glances.gregor	Total_duration_of_Glances.plant	Total_duration_of_Glances.teddy	Average_duration_of_Glances.computer	Average_duration_of_Glances.gregor	Average_duration_of_Glances.plant	Average_duration_of_Glances.teddy	Maximum_duration_of_Glances.computer	Maximum_duration_of_Glances.gregor	Maximum_duration_of_Glances.plant	Maximum_duration_of_Glances.teddy	Minimum_duration_of_Glances.computer	Minimum_duration_of_Glances.gregor	Minimum_duration_of_Glances.plant	Minimum_duration_of_Glances.teddy	Number_of_Glances.computer	Number_of_Glances.gregor	Number_of_Glances.plant	Number_of_Glances.teddy	Number of saccades	Average peak velocity of saccades	Minimum peak velocity of saccades	Maximum peak velocity of saccades	Standard deviation of peak velocity of saccades	Average amplitude of saccades	Minimum amplitude of saccades	Maximum amplitude of saccades	Total amplitude of saccades	Time to first saccade	Direction of first saccade	Peak velocity of first saccade	Average velocity of first saccade	Amplitude of first saccade	Number_of_saccades_in_AOI.computer	Number_of_saccades_in_AOI.gregor	Number_of_saccades_in_AOI.plant	Number_of_saccades_in_AOI.teddy	Time_to_entry_saccade.computer	Time_to_entry_saccade.gregor	Time_to_entry_saccade.plant	Time_to_entry_saccade.teddy	Time_to_exit_saccade.computer	Time_to_exit_saccade.gregor	Time_to_exit_saccade.plant	Time_to_exit_saccade.teddy	Peak_velocity_of_entry_saccade.computer	Peak_velocity_of_entry_saccade.gregor	Peak_velocity_of_entry_saccade.plant	Peak_velocity_of_entry_saccade.teddy	Peak_velocity_of_exit_saccade.computer	Peak_velocity_of_exit_saccade.gregor	Peak_velocity_of_exit_saccade.plant	Peak_velocity_of_exit_saccade.teddy
Recording030	Pilot001	My Time of Interest001	1	fullstream	4330	4239		3330	3206	1197						0	1	1	1	0	0	0	0	0	210	1108	0	0	210	1108	0	0	1	1	0	0	3157	0			210	1108			0	0	0	0	0	0	0	0	0	0	0	0									210	1108	0	0	210	1108	0	0	1	1	0	0	210	1108	0	0	210	1108	0	0	210	1108			210	1108			1	1	0	0	1	151,81	151,81	151,81		6,38	6,38	6,38	6,38	3666	236,07	151,81	151,81	6,38	0	0	0	0																
Recording030	Pilot001	My Time of Interest001	2	fullstream	5166	32307		5069	4925	3170	1534	4166	4060			0	1	1	1	1	1	1	0	0	275	2236	264	303	275	2236	264	152	1	1	1	2	4746	1306	3942	4521	275	2236	264	198	0	0	0	105	0	0	0	105	0	0	0	1				5061				105	275	2236	264	303	275	2236	264	152	1	1	1	2	275	2236	284	463	275	2236	284	232	275	2236	284	318	275	2236	284	145	1	1	1	2	3	267,67	249,63	280,75	16,14	9,67	7,53	11,43	29,02	144	338,53	272,64	186,84	7,53	0	0	0	0				5021	5021							249,63	249,63			
Recording030	Pilot001	My Time of Interest001	3	fullstream	144	38232										0	0	0	0	0	0	0	0	0	0	16	89	0	0	16	89	0	0	1	1	0		0	56			16	89		0	16	89	0	0	16	89	0	0	1	1	0		0	56			16	89		0	16	89	0	0	16	89	0	0	1	1	0	0	16	129	0	0	16	129	0		16	129			16	129		0	1	1	0	1	480,45	480,45	480,45		12,88	12,88	12,88	12,88	16	195,33	480,45	361,94	12,88	0	0	0	0			16			16					480,45			480,45		
Recording030	Pilot001	My Time of Interest001	4	fullstream	172	38703							141			0	0	0	0	0	0	1	0	0	0	0	107	0	0	0	107	0	0	0	1	0			64				107		0	0	0	0	0	0	0	0	0	0	0	0									0	0	107	0	0	0	107	0	0	0	1	0	0	0	172	0	0	0	172	0			172				172		0	0	1	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	5	fullstream	184	39844										0	0	0	0	0	0	0	0	0	15	0	0	104	15	0	0	104	1	0	0	1	169			0	15			104	0	0	0	0	0	0	0	0	0	0	0	0									15	0	0	104	15	0	0	104	1	0	0	1	15	0	0	104	15	0	0	104	15			104	15			104	1	0	0	1	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	6	fullstream	905	40506										0	0	0	0	0	0	0	0	0	140	200	0	0	140	100	0	0	1	2	0	0	140	440			140	80			140	200	0	0	140	100	0	0	1	2	0	0	140	440			140	80			280	240	0	0	280	240	0	0	1	1	0	0	280	280	0	0	280	280	0	0	280	280			280	280			1	1	0	0	1	165,07	165,07	165,07		12,99	12,99	12,99	12,99	520	340,82	165,07	158,68	12,99	0	1	0	0																
Recording030	Pilot001	My Time of Interest001	7	fullstream	1216	43101		494	298					216		0	2	2	0	0	0	0	1	0	0	536	0	0	0	268	0	0	0	2	0	0		0				203			0	536	0	0	0	268	0	0	0	2	0	0		0				203			0	536	0	0	0	268	0	0	0	2	0	0	0	636	0	0	0	318	0	0		433				203			0	2	0	0	1	349,49	349,49	349,49		11,67	11,67	11,67	11,67	203	337,87	349,49	242,01	11,67	0	0	0	0						203								349,49		
Recording030	Pilot001	My Time of Interest001	8	fullstream	197	44399										0	0	0	0	0	0	0	0	0	0	197	0	0	0	197	0	0	0	1	0	0		0				197			0	197	0	0	0	197	0	0	0	1	0	0		0				197			0	197	0	0	0	197	0	0	0	1	0	0	0	197	0	0	0	197	0	0		197				197			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	9	fullstream	174	44646										0	0	0	0	0	0	0	0	0	0	174	0	0	0	174	0	0	0	1	0	0		0				174			0	174	0	0	0	174	0	0	0	1	0	0		0				174			0	174	0	0	0	174	0	0	0	1	0	0	0	174	0	0	0	174	0	0		174				174			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	10	fullstream	13756	45338		12756	12284	5008	3890			13214	13115	0	2	2	4	4	0	0	2	2	0	10220	0	640	0	601	0	640	0	17	0	1		0		12079		566		640	0	10220	0	640	0	601	0	640	0	17	0	1		0		12079		566		640	0	11359	0	640	0	2840	0	640	0	4	0	1	0	11499	0	680	0	2875	0	680		5043		680		460		680	0	4	0	1	19	232,84	104,39	438,18	113,03	7,86	1,46	16,8	149,43	985	122,08	353,91	264,46	9,62	0	10	0	0		5223		12039		5043		12718		119,26		104,39		185,22		284,58
