Recording	Participant	Toi	Interval	Media	Duration of interval	Start of interval	Time_to_first_Event.Logged live Event	Time_to_first_Event.computer_END	Time_to_first_Event.computer_START	Time_to_first_Event.gregor_END	Time_to_first_Event.gregor_START	Time_to_first_Event.plant_END	Time_to_first_Event.plant_START	Time_to_first_Event.teddy_END	Time_to_first_Event.teddy_START	Number_of_Events.Logged live Event	Number_of_Events.computer_END	Number_of_Events.computer_START	Number_of_Events.gregor_END	Number_of_Events.gregor_START	Number_of_Events.plant_END	Number_of_Events.plant_START	Number_of_Events.teddy_END	Number_of_Events.teddy_START	Total_duration_of_fixations.computer	Total_duration_of_fixations.gregor	Total_duration_of_fixations.plant	Total_duration_of_fixations.teddy	Average_duration_of_fixations.computer	Average_duration_of_fixations.gregor	Average_duration_of_fixations.plant	Average_duration_of_fixations.teddy	Number_of_fixations.computer	Number_of_fixations.gregor	Number_of_fixations.plant	Number_of_fixations.teddy	Time_to_first_fixation.computer	Time_to_first_fixation.gregor	Time_to_first_fixation.plant	Time_to_first_fixation.teddy	Duration_of_first_fixation.computer	Duration_of_first_fixation.gregor	Duration_of_first_fixation.plant	Duration_of_first_fixation.teddy	Total_duration_of_whole_fixations.computer	Total_duration_of_whole_fixations.gregor	Total_duration_of_whole_fixations.plant	Total_duration_of_whole_fixations.teddy	Average_duration_of_whole_fixations.computer	Average_duration_of_whole_fixations.gregor	Average_duration_of_whole_fixations.plant	Average_duration_of_whole_fixations.teddy	Number_of_whole_fixations.computer	Number_of_whole_fixations.gregor	Number_of_whole_fixations.plant	Number_of_whole_fixations.teddy	Time_to_first_whole_fixation.computer	Time_to_first_whole_fixation.gregor	Time_to_first_whole_fixation.plant	Time_to_first_whole_fixation.teddy	Duration_of_first_whole_fixation.computer	Duration_of_first_whole_fixation.gregor	Duration_of_first_whole_fixation.plant	Duration_of_first_whole_fixation.teddy	Total_duration_of_Visit.computer	Total_duration_of_Visit.gregor	Total_duration_of_Visit.plant	Total_duration_of_Visit.teddy	Average_duration_of_Visit.computer	Average_duration_of_Visit.gregor	Average_duration_of_Visit.plant	Average_duration_of_Visit.teddy	Number_of_Visits.computer	Number_of_Visits.gregor	Number_of_Visits.plant	Number_of_Visits.teddy	Total_duration_of_Glances.computer	Total_duration_of_Glances.gregor	Total_duration_of_Glances.plant	Total_duration_of_Glances.teddy	Average_duration_of_Glances.computer	Average_duration_of_Glances.gregor	Average_duration_of_Glances.plant	Average_duration_of_Glances.teddy	Maximum_duration_of_Glances.computer	Maximum_duration_of_Glances.gregor	Maximum_duration_of_Glances.plant	Maximum_duration_of_Glances.teddy	Minimum_duration_of_Glances.computer	Minimum_duration_of_Glances.gregor	Minimum_duration_of_Glances.plant	Minimum_duration_of_Glances.teddy	Number_of_Glances.computer	Number_of_Glances.gregor	Number_of_Glances.plant	Number_of_Glances.teddy	Number of saccades	Average peak velocity of saccades	Minimum peak velocity of saccades	Maximum peak velocity of saccades	Standard deviation of peak velocity of saccades	Average amplitude of saccades	Minimum amplitude of saccades	Maximum amplitude of saccades	Total amplitude of saccades	Time to first saccade	Direction of first saccade	Peak velocity of first saccade	Average velocity of first saccade	Amplitude of first saccade	Number_of_saccades_in_AOI.computer	Number_of_saccades_in_AOI.gregor	Number_of_saccades_in_AOI.plant	Number_of_saccades_in_AOI.teddy	Time_to_entry_saccade.computer	Time_to_entry_saccade.gregor	Time_to_entry_saccade.plant	Time_to_entry_saccade.teddy	Time_to_exit_saccade.computer	Time_to_exit_saccade.gregor	Time_to_exit_saccade.plant	Time_to_exit_saccade.teddy	Peak_velocity_of_entry_saccade.computer	Peak_velocity_of_entry_saccade.gregor	Peak_velocity_of_entry_saccade.plant	Peak_velocity_of_entry_saccade.teddy	Peak_velocity_of_exit_saccade.computer	Peak_velocity_of_exit_saccade.gregor	Peak_velocity_of_exit_saccade.plant	Peak_velocity_of_exit_saccade.teddy
Recording031	Pilot002	material_real_031	1	material_real_031	15631	47042										0	0	0	0	0	0	0	0	0																																																																									2	119,93	100,04	139,81	28,12	1,23	0,55	1,91	2,46	300	58,81	100,04	100,04	0,55																				
Recording031	Pilot002	material_real_031	2	material_real_031	15491	74486										0	0	0	0	0	0	0	0	0																																																																									2	117,53	104,81	130,24	17,98	11,47	8,89	14,04	22,93	3078	18,35	104,81	104,81	8,89																				
Recording031	Pilot002	material_real_031	3	material_real_031	19788	98072										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording031	Pilot002	material_real_031	4	material_real_031	67100	125176										0	0	0	0	0	0	0	0	0																																																																									7	181,51	129,8	265,54	47,56	5,59	2,61	8,94	39,1	15171	30,27	154,75	154,75	3,99																				
Recording031	Pilot002	material_real_031	5	material_real_031	8415	200411										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording031	Pilot002	material_real_031	6	material_real_031	5057	214603										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording031	Pilot002	material_real_031	7	material_real_031	660	226956										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording031	Pilot002	material_real_031	8	material_real_031	17909	233132										0	0	0	0	0	0	0	0	0																																																																									2	125,54	120,46	130,62	7,19	6,39	5,19	7,59	12,79	10774	16,07	120,46	120,46	5,19																				
Recording031	Pilot002	material_real_031	9	material_real_031	58225	259876										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording031	Pilot002	material_real_031	10	material_real_031	1939	324198										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording031	Pilot002	material_real_031	11	material_real_031	49131	333213										0	0	0	0	0	0	0	0	0																																																																									4	143,54	110,8	168,35	24,85	6,59	3,1	10,14	26,35	30662	278,01	110,8	110,8	3,1																				
Recording031	Pilot002	material_real_031	12	material_real_031	1119	391078										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording031	Pilot002	material_real_031	13	material_real_031	5737	405749										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording031	Pilot002	snapshot_class	1	snapshot_class	3558	2069										0	0	0	0	0	0	0	0	0	0	1559	280	0	0	1559	280	0	0	1	1	0		700	2299			1559	280		0	0	280	0	0	0	280	0	0	0	1	0			2299				280		0	1559	280	0	0	1559	280	0	0	1	1	0	0	1559	320	0	0	1559	320	0		1559	320			1559	320		0	1	1	0	2	298,39	241,88	354,9	79,92	11,41	9,26	13,56	22,82	2259	220,9	354,9	233,83	13,56	0	0	0	0			2259			2259	2578				354,9			354,9	241,88	
Recording031	Pilot002	snapshot_class	2	snapshot_class	93585	31092										0	0	0	0	0	0	0	0	0	1619	34440	3118	3658	324	638	283	244	5	54	11	15	2119	0	800	1799	340	440	160	160	620	10014	1439	1579	310	626	288	263	2	16	5	6	2119	1019	800	11273	340	640	160	460	1619	70538	3238	3718	324	6413	463	310	5	11	7	12	1699	70738	3618	3998	340	6431	517	333	640	24985	1019	839	140	360	220	80	5	11	7	12	33	247,4	100,73	641,12	148,26	9,65	0,95	25,12	318,43	740	220,47	469,32	348,31	19	0	12	2	3	11733	959	740	2459	2459	740	959	11733	393,55	475,07	469,32	356,35	356,35	469,32	475,07	393,55
Recording031	Pilot002	snapshot_class	3	snapshot_class	1319	130553										0	0	0	0	0	0	0	0	0	0	1279	0	0	0	640	0	0	0	2	0	0		0				80			0	0	0	0	0	0	0	0	0	0	0	0									0	1319	0	0	0	1319	0	0	0	1	0	0	0	1319	0	0	0	1319	0	0		1319				1319			0	1	0	0	0														0	0	0	0																
Recording031	Pilot002	snapshot_class	4	snapshot_class	80	137489										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0														0	0	0	0																
